GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
life,com.stockcharts.interns.elijahm.life,State,77,312,8,48,13,48,7,34,2,11
life,com.stockcharts.interns.elijahm.life,LifeApp,168,0,10,0,29,0,10,0,5,0
